country,First,Days_In_Data,Start_Rate,End_Rate
Albania,2020-04-04,13,0.10552195707130752,0.17147318024087468
Armenia,2020-03-27,21,0.1112339154574909,0.39185443165724
Australia,2020-03-26,22,0.11105733486678952,0.2562373235333072
Austria,2020-03-17,31,0.1134548774542155,1.6046718395837367
Bahamas,2020-04-09,8,0.1027005099080317,0.136078175628142
Bahrain,2020-03-14,34,0.1279573378049345,1.0193934578459782
Barbados,2020-03-30,18,0.1149725633655605,0.2613012803762738
Belarus,2020-04-09,8,0.11277546014450704,0.39439673116202845
Belgium,2020-03-18,30,0.10771857771960378,2.9094415203380994
Bosnia And Herzegovina,2020-03-31,17,0.10693729172977885,0.3332323538321721
Canada,2020-03-27,21,0.10740143145419052,0.7581717774431707
Chile,2020-03-29,19,0.10072795337366884,0.4365229744684978
Costa Rica,2020-04-10,7,0.10678424688676373,0.1240202941579111
Croatia,2020-03-26,22,0.10120320441304079,0.4215186097681914
Cyprus,2020-03-25,23,0.10512474661968833,0.6061628534925578
Denmark,2020-03-13,35,0.11711963320071324,1.1575092742810136
Djibouti,2020-04-08,9,0.1242861251489379,0.44681375570072723
Dominican Republic,2020-04-01,16,0.10326886463286289,0.336531719371656
Ecuador,2020-03-29,19,0.10561964426382878,0.4522938226840144
Estonia,2020-03-16,32,0.1289935186414493,1.0575959832474382
Finland,2020-03-23,25,0.11315660657436269,0.5851244975738211
France,2020-03-17,31,0.10184289423103379,1.630683917488493
French Polynesia,2020-03-27,21,0.10741638529541297,0.19693003970825712
Germany,2020-03-20,28,0.1692828092756395,1.5619566041878037
Greece,2020-03-29,19,0.10130372451115702,0.20929101237366277
Hungary,2020-04-09,8,0.10119075707103972,0.17057870477689555
Iceland,2020-03-05,42,0.10913456291607551,5.12932445705555
Iran,2020-03-12,36,0.10854632756054214,0.9213050462246949
Ireland,2020-03-20,28,0.1140810180041147,2.569792698200408
Israel,2020-03-22,26,0.10364607646779805,1.4673608175809099
Italy,2020-03-09,39,0.12180001428569659,2.7275771334717587
Kuwait,2020-04-05,12,0.11385560969441297,0.33396060881137835
Latvia,2020-03-25,23,0.10331754200749656,0.3492867156192523
Lithuania,2020-03-27,21,0.10834797601270027,0.3953432837118929
Luxembourg,2020-03-16,32,0.1250550160866225,5.478059341041269
Malaysia,2020-04-04,13,0.10431997694381404,0.15874915183289073
Malta,2020-03-19,29,0.10899875559754027,0.9060521559045535
Mauritius,2020-03-31,17,0.10679348392883216,0.2703210061948564
Moldova,2020-04-02,15,0.1046184727533183,0.5067689141171375
Montenegro,2020-03-27,21,0.10669010664233494,0.4586082195969025
Netherlands,2020-03-19,29,0.11996165438292859,1.6466506366858062
New Zealand,2020-03-30,18,0.11540721918151611,0.2266330173781947
North Macedonia,2020-03-28,20,0.1051136595440563,0.46749180089457004
Norway,2020-03-13,35,0.11545203748677461,1.2413417943626315
Panama,2020-03-25,23,0.10432270427056646,0.8833283605392659
Peru,2020-04-09,8,0.13355704394521972,0.35296339918733216
Poland,2020-04-06,11,0.10826713254789778,0.20011735713753315
Portugal,2020-03-22,26,0.1251688434799794,1.769085583903365
Puerto Rico,2020-04-03,14,0.10772453064831078,0.3320370026944769
Qatar,2020-03-14,34,0.11299167710368434,1.3103503554117892
Romania,2020-03-31,17,0.10080271911203546,0.3726395599961311
Serbia,2020-04-01,16,0.10259643067017699,0.5555026740619694
Singapore,2020-03-27,21,0.10233726952794092,0.6372820875149048
Slovakia,2020-04-08,9,0.10646850209079584,0.15814512444811843
Slovenia,2020-03-16,32,0.10535663944071501,0.6003885206484582
Spain,2020-03-15,33,0.12309364257389085,3.8007114568621505
Sweden,2020-03-16,32,0.10282592955088683,1.1883768040246387
Switzerland,2020-03-14,34,0.1304798480800199,3.0654034603348825
Turkey,2020-03-30,18,0.11047635782569534,0.8317430207486874
United Arab Emirates,2020-04-03,14,0.10480497013007177,0.5491002585428076
United Kingdom,2020-03-25,23,0.11960579635425778,1.4582518759170344
United States,2020-03-23,25,0.10698800808352353,1.9438839175918592
Uruguay,2020-04-03,14,0.10659397862458525,0.15570231566030204
